OP_UNIQUE_CARRIER,n_flights,arr_delay_mean,carrier_delay_mean,weather_delay_mean,nas_delay_mean,security_delay_mean,late_aircraft_delay_mean
OH,78476.0,17.155741882868647,25.977061914553346,5.957642220699109,11.856888279643591,0.11601553575508339,43.50929860635138
F9,65965.0,11.316228302887895,23.052504277033805,1.914577311073093,15.357854993805676,0.0,40.53271193439915
G4,42596.0,9.53713963752465,24.89119703825586,8.928527354997943,18.699917729329496,0.681612505141917,33.02097902097902
AA,302790.0,8.978681594504442,27.111256465776496,4.613030795140142,13.514675808973896,0.1078130638758571,33.71538554071935
OO,259692.0,7.590934645657163,38.93056657973315,12.113769512794345,13.153947915485505,0.09759231961295688,16.580470196923308
B6,75680.0,6.144965644820296,19.4366567573748,1.8800022867596615,18.63737708666819,0.11468099702721243,30.637605762634347
HA,25707.0,5.810751935270549,27.157359204921914,3.2823000473260766,0.5849503076194983,0.14671083767155702,19.988641741599622
MQ,87416.0,5.316955706049236,15.517534293749641,7.7526258394076795,15.353613040234173,0.08592090914308673,25.83825977156632
DL,312503.0,4.194199735682537,31.18961030124683,4.752453690316216,14.847267345932062,0.03641837758764395,21.558760992702716
UA,248433.0,2.4649422580736053,18.853449241592543,3.3991889409181546,21.33195169493424,0.004055295409226357,24.926578988640692
